Trade Date,Underlying,Product Type,Exchange,Volume
2020/10/22,CAT,S,BATS,1818
2020/10/22,CAT,S,C2,392
2020/10/22,CAT,S,CBOE,3273
2020/10/22,CAT,S,EDGX,306
2020/10/23,CAT,S,BATS,1695
2020/10/23,CAT,S,C2,167
2020/10/23,CAT,S,CBOE,1993
2020/10/23,CAT,S,EDGX,414
2020/10/26,CAT,S,BATS,3595
2020/10/26,CAT,S,C2,466
2020/10/26,CAT,S,CBOE,8413
2020/10/26,CAT,S,EDGX,1500
2020/10/27,CAT,S,BATS,2142
2020/10/27,CAT,S,C2,202
2020/10/27,CAT,S,CBOE,7391
2020/10/27,CAT,S,EDGX,1658
2020/10/28,CAT,S,BATS,1950
2020/10/28,CAT,S,C2,456
2020/10/28,CAT,S,CBOE,6085
2020/10/28,CAT,S,EDGX,966
2020/10/29,CAT,S,BATS,970
2020/10/29,CAT,S,C2,402
2020/10/29,CAT,S,CBOE,3107
2020/10/29,CAT,S,EDGX,754
2020/10/30,CAT,S,BATS,1369
2020/10/30,CAT,S,C2,306
2020/10/30,CAT,S,CBOE,4572
2020/10/30,CAT,S,EDGX,946
2020/11/02,CAT,S,BATS,1883
2020/11/02,CAT,S,C2,224
2020/11/02,CAT,S,CBOE,4718
2020/11/02,CAT,S,EDGX,1045
2020/11/03,CAT,S,BATS,2284
2020/11/03,CAT,S,C2,254
2020/11/03,CAT,S,CBOE,3544
2020/11/03,CAT,S,EDGX,690
2020/11/04,CAT,S,BATS,6086
2020/11/04,CAT,S,C2,875
2020/11/04,CAT,S,CBOE,8002
2020/11/04,CAT,S,EDGX,1834
2020/11/05,CAT,S,BATS,3064
2020/11/05,CAT,S,C2,571
2020/11/05,CAT,S,CBOE,5413
2020/11/05,CAT,S,EDGX,1280
2020/11/06,CAT,S,BATS,1462
2020/11/06,CAT,S,C2,343
2020/11/06,CAT,S,CBOE,2625
2020/11/06,CAT,S,EDGX,573
2020/11/09,CAT,S,BATS,2413
2020/11/09,CAT,S,C2,451
2020/11/09,CAT,S,CBOE,5871
2020/11/09,CAT,S,EDGX,2312
2020/11/10,CAT,S,BATS,2176
2020/11/10,CAT,S,C2,428
2020/11/10,CAT,S,CBOE,2750
2020/11/10,CAT,S,EDGX,1336
2020/11/11,CAT,S,BATS,2484
2020/11/11,CAT,S,C2,351
2020/11/11,CAT,S,CBOE,4896
2020/11/11,CAT,S,EDGX,1256
2020/11/12,CAT,S,BATS,2277
2020/11/12,CAT,S,C2,236
2020/11/12,CAT,S,CBOE,2318
2020/11/12,CAT,S,EDGX,452
2020/11/13,CAT,S,BATS,1170
2020/11/13,CAT,S,C2,69
2020/11/13,CAT,S,CBOE,2691
2020/11/13,CAT,S,EDGX,1216
2020/11/16,CAT,S,BATS,1532
2020/11/16,CAT,S,C2,83
2020/11/16,CAT,S,CBOE,2784
2020/11/16,CAT,S,EDGX,391
2020/11/17,CAT,S,BATS,1169
2020/11/17,CAT,S,C2,171
2020/11/17,CAT,S,CBOE,1976
2020/11/17,CAT,S,EDGX,626
2020/11/18,CAT,S,BATS,1088
2020/11/18,CAT,S,C2,121
2020/11/18,CAT,S,CBOE,2819
2020/11/18,CAT,S,EDGX,877
2020/11/19,CAT,S,BATS,3470
2020/11/19,CAT,S,C2,762
2020/11/19,CAT,S,CBOE,23838
2020/11/19,CAT,S,EDGX,1165
2020/11/20,CAT,S,BATS,1260
2020/11/20,CAT,S,C2,112
2020/11/20,CAT,S,CBOE,4753
2020/11/20,CAT,S,EDGX,970
2020/11/23,CAT,S,BATS,4592
2020/11/23,CAT,S,C2,528
2020/11/23,CAT,S,CBOE,3695
2020/11/23,CAT,S,EDGX,1585
2020/11/24,CAT,S,BATS,3630
2020/11/24,CAT,S,C2,503
2020/11/24,CAT,S,CBOE,6339
2020/11/24,CAT,S,EDGX,1215
2020/11/25,CAT,S,BATS,1724
2020/11/25,CAT,S,C2,196
2020/11/25,CAT,S,CBOE,2549
2020/11/25,CAT,S,EDGX,536
2020/11/27,CAT,S,BATS,680
2020/11/27,CAT,S,C2,204
2020/11/27,CAT,S,CBOE,2029
2020/11/27,CAT,S,EDGX,670
2020/11/30,CAT,S,BATS,835
2020/11/30,CAT,S,C2,151
2020/11/30,CAT,S,CBOE,2356
2020/11/30,CAT,S,EDGX,2581
2020/12/01,CAT,S,BATS,1341
2020/12/01,CAT,S,C2,103
2020/12/01,CAT,S,CBOE,2782
2020/12/01,CAT,S,EDGX,747
2020/12/02,CAT,S,BATS,683
2020/12/02,CAT,S,C2,214
2020/12/02,CAT,S,CBOE,984
2020/12/02,CAT,S,EDGX,413
2020/12/03,CAT,S,BATS,837
2020/12/03,CAT,S,C2,176
2020/12/03,CAT,S,CBOE,978
2020/12/03,CAT,S,EDGX,402
2020/12/04,CAT,S,BATS,3978
2020/12/04,CAT,S,C2,800
2020/12/04,CAT,S,CBOE,11103
2020/12/04,CAT,S,EDGX,2713
2020/12/07,CAT,S,BATS,1175
2020/12/07,CAT,S,C2,255
2020/12/07,CAT,S,CBOE,2436
2020/12/07,CAT,S,EDGX,785
2020/12/08,CAT,S,BATS,986
2020/12/08,CAT,S,C2,83
2020/12/08,CAT,S,CBOE,1461
2020/12/08,CAT,S,EDGX,442
2020/12/09,CAT,S,BATS,767
2020/12/09,CAT,S,C2,76
2020/12/09,CAT,S,CBOE,2545
2020/12/09,CAT,S,EDGX,1219
2020/12/10,CAT,S,BATS,725
2020/12/10,CAT,S,C2,337
2020/12/10,CAT,S,CBOE,1285
2020/12/10,CAT,S,EDGX,1172
